year,revenue,cost_of_revenue,gross_profit,research_development,selling_general_admin,operating_expenses,operating_income,operating_loss,interest_expense,other_income,income_before_tax,tax_expense,net_income,net_loss,eps_basic,eps_diluted,net_income_final
2007,58159.0,36042.0,22117.0,6206.0,6209.0,11160.0,,,,728.0,,11685.0,7438.0,,6253.0,22837.0,7438.0
2008,58159.0,36042.0,22117.0,,,,,,,1784.0,,11685.0,7434.0,,27537.0,28624.0,7434.0
2009,62108.0,36042.0,26556.0,,,,,,,1784.0,,12887.0,9289.0,,27735.0,28624.0,9289.0
2010,70405.0,38342.0,29216.0,,,,,,,1965.0,,12887.0,10383.0,,,,10383.0
2011,97763.0,53009.0,44754.0,10632.0,10722.0,21354.0,,,,1965.0,,23861.0,18876.0,,28013.0,29685.0,18876.0
2012,97763.0,53009.0,44754.0,10637.0,19356.0,29993.0,,,,1965.0,,23861.0,18876.0,,28497.0,29685.0,18876.0
2013,97763.0,53009.0,44754.0,11472.0,19356.0,29993.0,,,,1965.0,,23861.0,18876.0,,28497.0,29685.0,18876.0
2014,97763.0,53009.0,44754.0,13110.0,19356.0,31924.0,,,,1965.0,,23861.0,18876.0,,28497.0,29685.0,18876.0
2015,97763.0,53009.0,44754.0,13110.0,19356.0,31924.0,,,,525.0,,23861.0,18876.0,,28497.0,29685.0,18876.0
2016,82540.0,45891.0,36649.0,13110.0,19356.0,31924.0,,,,525.0,,7181.0,6756.0,6189.0,28497.0,29496.0,6756.0
2017,66014.0,37426.0,28588.0,15803.0,19247.0,31924.0,,,,478.0,,5653.0,6189.0,4978.0,27505.0,28077.0,6189.0
2018,1.0,49.3,54.8,39.9,33.5,63.1,,,,166.0,,5653.0,,6189.0,27505.0,27505.0,-6189.0
2019,1.0,47.4,61.4,41.5,23.2,63.1,,,,221.0,,5653.0,4978.0,,25029.0,25029.0,4978.0
2020,,,31628.0,25223.0,17663.0,36145.0,,,,712.0,,10090.0,10337.0,,22968.0,23349.0,10337.0
2021,51486.0,19858.0,31628.0,25223.0,11140.0,36145.0,,,,712.0,,21170.0,21505.0,6076.0,23671.0,23671.0,21505.0
2022,43343.0,18000.0,25343.0,25223.0,11137.0,36145.0,,,,0.3,,21170.0,,21505.0,24303.0,24303.0,-21505.0
2023,33384.0,14847.0,18537.0,24672.0,11137.0,34890.0,,,,0.7,,21170.0,,21505.0,24595.0,24595.0,-21505.0
2024,33384.0,14847.0,18537.0,24672.0,10565.0,34890.0,,,,1.9,,20017.0,,20087.0,25144.0,25144.0,-20087.0
2025,29691.0,12010.0,17681.0,23550.0,10763.0,33488.0,,,,1.9,,20017.0,,20087.0,25498.0,25498.0,-20087.0
