year,revenue,gross_margin,operating_margin,gross_profit,operating_income,net_income
2026,20518.0,60.0,-97.57598206452872,12310.8,-20020.640000000003,-15015.480000000003
2027,20518.0,60.0,-95.57598206452872,12310.8,-19610.280000000002,-14707.710000000003
2028,21133.54,60.0,-93.57598206452872,12680.124,-19775.917600000004,-14831.938200000004
2029,21767.5462,60.0,-91.57598206452872,13060.52772,-19933.844204,-14950.383153
2030,22420.572586000002,60.0,-89.57598206452872,13452.3435516,-20083.448078400004,-15062.586058800003
