,growth_metrics,profitability_metrics,balance_sheet_metrics,returns_metrics,efficiency_metrics
total_assets_all_avg,,,84960.71428571429,84960.71428571429,84960.71428571429
total_assets_all_std,,,42574.490725919764,42574.490725919764,42574.490725919764
total_assets_all_min,,,42464.0,42464.0,42464.0
total_assets_all_max,,,143117.0,143117.0,143117.0
total_liabilities_all_avg,,,25869.933333333334,,
total_liabilities_all_std,,,25901.9828790513,,
total_liabilities_all_min,,,6494.0,,
total_liabilities_all_max,,,87612.0,,
stockholders_equity_all_avg,,,116714.16666666667,116714.16666666667,116714.16666666667
stockholders_equity_all_std,,,18535.56250472768,18535.56250472768,18535.56250472768
stockholders_equity_all_min,,,89869.0,89869.0,89869.0
stockholders_equity_all_max,,,132183.0,132183.0,132183.0
cash_all_avg,,,14584.466666666667,,
cash_all_std,,,14588.541951362606,,
cash_all_min,,,400.0,,
cash_all_max,,,44234.0,,
total_debt_all_avg,,,0.0,,
total_debt_all_std,,,0.0,,
total_debt_all_min,,,0.0,,
total_debt_all_max,,,0.0,,
net_debt_all_avg,,,-14584.466666666667,,
net_debt_all_std,,,14588.541951362606,,
net_debt_all_min,,,-44234.0,,
net_debt_all_max,,,-400.0,,
debt_to_equity_all_avg,,,0.0,,
debt_to_equity_all_std,,,0.0,,
debt_to_equity_all_min,,,0.0,,
debt_to_equity_all_max,,,0.0,,
debt_to_assets_all_avg,,,0.0,,
debt_to_assets_all_std,,,0.0,,
debt_to_assets_all_min,,,0.0,,
debt_to_assets_all_max,,,0.0,,
current_ratio_all_avg,,,7.498781390451274,,
current_ratio_all_std,,,1.74797529344765,,
current_ratio_all_min,,,3.3156629912355102,,
current_ratio_all_max,,,9.626012965964344,,
quick_ratio_all_avg,,,1.659496008495483,,
quick_ratio_all_std,,,1.8107951955448862,,
quick_ratio_all_min,,,0.03379234603362338,,
quick_ratio_all_max,,,5.927901366925757,,
invested_capital_10y_avg,,,,89869.0,
invested_capital_10y_std,,,,,
roe_10y_avg,,,,2.414625733011383,
roe_10y_std,,,,,
roa_10y_avg,,,,11.798612062274575,
roa_10y_std,,,,,
roic_10y_avg,,,,-6.7220064760929805,
roic_10y_std,,,,,
invested_capital_all_avg,,,,116714.16666666667,
invested_capital_all_std,,,,18535.56250472768,
invested_capital_all_min,,,,89869.0,
invested_capital_all_max,,,,132183.0,
roe_all_avg,,,,5.85436897758413,
roe_all_std,,,,4.807902739429871,
roe_all_min,,,,2.414625733011383,
roe_all_max,,,,15.139557266602502,
roa_all_avg,,,,9.939985794974818,
roa_all_std,,,,4.582082369787967,
roa_all_min,,,,4.720613204580867,
roa_all_max,,,,13.30073211806901,
roic_all_avg,,,,4.020273949114365,
roic_all_std,,,,11.834977654449492,
roic_all_min,,,,-6.7220064760929805,
roic_all_max,,,,18.768046198267566,
asset_turnover_3y_avg,,,,,0.514591642818857
asset_turnover_3y_std,,,,,0.04197790190115678
asset_turnover_10y_avg,,,,,0.48026616151087403
asset_turnover_10y_std,,,,,0.07255439157478821
equity_turnover_10y_avg,,,,,0.5868096896593931
equity_turnover_10y_std,,,,,
asset_turnover_all_avg,,,,,0.5238480309959441
asset_turnover_all_std,,,,,0.10048531084129061
asset_turnover_all_min,,,,,0.36284054329905
asset_turnover_all_max,,,,,0.6888744829724417
equity_turnover_all_avg,,,,,0.6055307898415506
equity_turnover_all_std,,,,,0.10305284084557122
equity_turnover_all_min,,,,,0.4994136916244903
equity_turnover_all_max,,,,,0.7841113249919794
