year,revenue,gross_margin,operating_margin,gross_profit,operating_income,net_income
2026,22569.800000000003,65.0,-94.57598206452872,14670.370000000003,-21345.610000000004,-16009.207500000004
2027,24826.780000000006,65.0,-89.57598206452872,16137.407000000005,-22238.832000000006,-16679.124000000003
2028,27309.45800000001,65.0,-84.57598206452872,17751.14770000001,-23097.242300000013,-17322.93172500001
2029,30040.403800000015,65.0,-79.57598206452872,19526.26247000001,-23904.946340000013,-17928.70975500001
2030,33044.44418000002,65.0,-74.57598206452872,21478.888717000013,-24643.218765000016,-18482.414073750013
